COUNTY,CATEGORY,VARIABLE,2020,2021,2025,2030,2035,2040,2045,2050
15-County Region,Employment,Industrial Employment,271473.0,274455.0,286375,298045,314195,327874,340388,351959
10-County Region,Employment,Industrial Employment,247237.0,250283.0,262461,274305,290443,303964,316226,327549
Delaware,Employment,Industrial Employment,17983.0,18473.0,20432,22644,25026,27276,29472,31778
Fairfield,Employment,Industrial Employment,11631.0,11719.0,12071,12527,13191,13902,14625,15317
Fayette,Employment,Industrial Employment,4383.0,4394.0,4439,4520,4588,4659,4747,4851
Franklin,Employment,Industrial Employment,152138.0,153068.0,156790,161726,169623,176594,182552,187699
Hocking,Employment,Industrial Employment,1851.0,1841.0,1799,1748,1724,1712,1710,1702
Knox,Employment,Industrial Employment,7521.0,7510.0,7465,7445,7576,7741,7935,8109
Licking,Employment,Industrial Employment,18071.0,19461.0,25018,27761,30664,31712,32515,33220
Logan,Employment,Industrial Employment,8351.0,8321.0,8202,8140,8151,8231,8370,8499
Madison,Employment,Industrial Employment,9127.0,9208.0,9531,9865,10301,10758,11201,11654
Marion,Employment,Industrial Employment,8908.0,8858.0,8662,8579,8694,8786,8787,8732
Morrow,Employment,Industrial Employment,1939.0,1942.0,1955,1963,2010,2064,2123,2192
Perry,Employment,Industrial Employment,1822.0,1825.0,1835,1825,1838,1862,1893,1924
Pickaway,Employment,Industrial Employment,4949.0,5001.0,5206,5461,5774,6089,6379,6645
Ross,Employment,Industrial Employment,7829.0,7791.0,7639,7507,7451,7446,7442,7434
Union,Employment,Industrial Employment,14970.0,15043.0,15331,16334,17584,19042,20637,22203
15-County Region,Employment,Office Employment,519085.0,523470.0,541012,562050,592725,620000,644439,666893
10-County Region,Employment,Office Employment,496438.0,500892.0,518705,539969,570671,597837,622100,644381
Delaware,Employment,Office Employment,45294.0,46527.0,51459,57034,63032,68700,74231,80036
Fairfield,Employment,Office Employment,14629.0,14739.0,15180,15755,16588,17484,18392,19264
Fayette,Employment,Office Employment,2972.0,2979.0,3009,3064,3111,3159,3219,3289
Franklin,Employment,Office Employment,374910.0,377203.0,386374,398536,417998,435172,449857,462543
Hocking,Employment,Office Employment,2109.0,2097.0,2049,1991,1964,1951,1948,1938
Knox,Employment,Office Employment,5707.0,5699.0,5665,5649,5749,5876,6023,6154
Licking,Employment,Office Employment,23241.0,23947.0,26769,28496,31029,32376,33407,34314
Logan,Employment,Office Employment,5201.0,5183.0,5109,5071,5077,5128,5214,5294
Madison,Employment,Office Employment,5037.0,5081.0,5260,5444,5684,5938,6180,6431
Marion,Employment,Office Employment,7759.0,7715.0,7543,7473,7572,7652,7651,7605
Morrow,Employment,Office Employment,1943.0,1946.0,1958,1967,2014,2067,2127,2196
Perry,Employment,Office Employment,2328.0,2331.0,2346,2332,2350,2380,2418,2460
Pickaway,Employment,Office Employment,5248.0,5303.0,5521,5792,6122,6456,6764,7046
Ross,Employment,Office Employment,10037.0,9988.0,9794,9623,9552,9545,9540,9531
Union,Employment,Office Employment,12670.0,12732.0,12976,13823,14883,16116,17468,18792
15-County Region,Employment,Other Employment,208181.0,209500.0,214773,221866,233025,243141,252167,260363
10-County Region,Employment,Other Employment,194454.0,195816.0,201264,208500,219675,229730,238655,246750
Delaware,Employment,Other Employment,11835.0,12156.0,13444,14900,16467,17948,19393,20909
Fairfield,Employment,Other Employment,8328.0,8391.0,8642,8969,9443,9952,10469,10966
Fayette,Employment,Other Employment,1721.0,1726.0,1743,1774,1801,1829,1865,1905
Franklin,Employment,Other Employment,143647.0,144526.0,148040,152699,160157,166737,172363,177223
Hocking,Employment,Other Employment,1410.0,1402.0,1369,1329,1313,1303,1301,1295
Knox,Employment,Other Employment,5376.0,5368.0,5335,5320,5415,5534,5672,5796
Licking,Employment,Other Employment,11009.0,11077.0,11346,11719,12622,13260,13748,14180
Logan,Employment,Other Employment,3063.0,3052.0,3008,2985,2991,3020,3071,3119
Madison,Employment,Other Employment,1987.0,2004.0,2073,2147,2241,2341,2438,2536
Marion,Employment,Other Employment,4508.0,4483.0,4383,4341,4400,4446,4446,4420
Morrow,Employment,Other Employment,1230.0,1231.0,1238,1243,1274,1307,1345,1388
Perry,Employment,Other Employment,1328.0,1329.0,1336,1329,1340,1357,1378,1402
Pickaway,Employment,Other Employment,2554.0,2581.0,2687,2819,2981,3142,3293,3429
Ross,Employment,Other Employment,6205.0,6175.0,6053,5949,5905,5902,5897,5892
Union,Employment,Other Employment,3980.0,3999.0,4076,4343,4675,5063,5488,5903
15-County Region,Employment,Retail Goods Employment,121332.0,122238.0,125852,130610,137666,144153,150082,155647
10-County Region,Employment,Retail Goods Employment,110543.0,111475.0,115203,120038,127089,133513,139345,144811
Delaware,Employment,Retail Goods Employment,14066.0,14449.0,15980,17710,19573,21332,23050,24853
Fairfield,Employment,Retail Goods Employment,7878.0,7937.0,8174,8483,8932,9414,9903,10373
Fayette,Employment,Retail Goods Employment,2435.0,2442.0,2467,2512,2550,2589,2638,2695
Franklin,Employment,Retail Goods Employment,66029.0,66432.0,68046,70188,73616,76641,79227,81461
Hocking,Employment,Retail Goods Employment,1109.0,1103.0,1076,1045,1032,1025,1023,1019
Knox,Employment,Retail Goods Employment,2530.0,2526.0,2509,2504,2547,2603,2669,2727
Licking,Employment,Retail Goods Employment,8843.0,8900.0,9128,9434,10163,10676,11068,11413
Logan,Employment,Retail Goods Employment,2359.0,2351.0,2316,2299,2301,2325,2364,2400
Madison,Employment,Retail Goods Employment,1679.0,1694.0,1753,1814,1895,1978,2059,2143
Marion,Employment,Retail Goods Employment,3067.0,3050.0,2983,2954,2993,3025,3025,3007
Morrow,Employment,Retail Goods Employment,1367.0,1369.0,1377,1385,1416,1454,1496,1544
Perry,Employment,Retail Goods Employment,793.0,794.0,799,793,800,810,823,837
Pickaway,Employment,Retail Goods Employment,1746.0,1764.0,1835,1925,2035,2146,2248,2342
Ross,Employment,Retail Goods Employment,4093.0,4073.0,3991,3923,3894,3891,3889,3885
Union,Employment,Retail Goods Employment,3338.0,3354.0,3418,3641,3919,4244,4600,4948
15-County Region,Employment,Retail Services Employment,144787.0,145952.0,150606,151359,165292,173250,180496,187279
10-County Region,Employment,Retail Services Employment,135866.0,137058.0,141820,142583,156597,164511,171679,178384
Delaware,Employment,Retail Services Employment,17518.0,17995.0,19903,20174,24379,26571,28710,30955
Fairfield,Employment,Retail Services Employment,9043.0,9111.0,9385,9424,10255,10808,11370,11909
Fayette,Employment,Retail Services Employment,1337.0,1340.0,1353,1355,1398,1421,1447,1479
Franklin,Employment,Retail Services Employment,87361.0,87895.0,90031,90332,97399,101401,104823,107779
Hocking,Employment,Retail Services Employment,1289.0,1282.0,1251,1247,1200,1191,1189,1185
Knox,Employment,Retail Services Employment,2394.0,2390.0,2374,2373,2410,2464,2525,2580
Licking,Employment,Retail Services Employment,9341.0,9423.0,9752,9867,10905,11447,11861,12225
Logan,Employment,Retail Services Employment,2383.0,2374.0,2340,2338,2325,2347,2388,2424
Madison,Employment,Retail Services Employment,1644.0,1659.0,1716,1726,1855,1937,2017,2098
Marion,Employment,Retail Services Employment,2573.0,2559.0,2500,2498,2510,2537,2537,2523
Morrow,Employment,Retail Services Employment,1009.0,1011.0,1017,1018,1046,1073,1104,1139
Perry,Employment,Retail Services Employment,879.0,880.0,884,883,886,897,911,927
Pickaway,Employment,Retail Services Employment,1500.0,1516.0,1577,1587,1748,1844,1932,2012
Ross,Employment,Retail Services Employment,3033.0,3018.0,2958,2953,2886,2883,2882,2880
Union,Employment,Retail Services Employment,3483.0,3499.0,3565,3584,4090,4429,4800,5164
15-County Region,Employment,Total Employment,1264858.0,1275615.0,1318618,1363930,1442903,1508418,1567572,1622141
10-County Region,Employment,Total Employment,1184538.0,1195524.0,1239453,1285395,1364475,1429555,1488005,1541875
Delaware,Employment,Total Employment,106696.0,109600.0,121218,132462,148477,161827,174856,188531
Fairfield,Employment,Total Employment,51509.0,51897.0,53452,55158,58409,61560,64759,67829
Fayette,Employment,Total Employment,12848.0,12881.0,13011,13225,13448,13657,13916,14219
Franklin,Employment,Total Employment,824085.0,829124.0,849281,873481,918793,956545,988822,1016705
Hocking,Employment,Total Employment,7768.0,7725.0,7544,7360,7233,7182,7171,7139
Knox,Employment,Total Employment,23528.0,23493.0,23348,23291,23697,24218,24824,25366
Licking,Employment,Total Employment,70505.0,72808.0,82013,87277,95383,99471,102599,105352
Logan,Employment,Total Employment,21357.0,21281.0,20975,20833,20845,21051,21407,21736
Madison,Employment,Total Employment,19474.0,19646.0,20333,20996,21976,22952,23895,24862
Marion,Employment,Total Employment,26815.0,26665.0,26071,25845,26169,26446,26446,26287
Morrow,Employment,Total Employment,7488.0,7499.0,7545,7576,7760,7965,8195,8459
Perry,Employment,Total Employment,7150.0,7159.0,7200,7162,7214,7306,7423,7550
Pickaway,Employment,Total Employment,15997.0,16165.0,16826,17584,18660,19677,20616,21474
Ross,Employment,Total Employment,31197.0,31045.0,30435,29955,29688,29667,29650,29622
Union,Employment,Total Employment,38441.0,38627.0,39366,41725,45151,48894,52993,57010
15-County Region,Households and Housing Units,Households,928223.0,931608.0,978700,1024320,1080878,1124934,1162738,1200544
10-County Region,Households and Housing Units,Households,843872.0,847271.0,893782,939056,995127,1038859,1076417,1113978
Delaware,Households and Housing Units,Households,74797.0,76772.0,85911,96507,108116,118569,128443,138317
Fairfield,Households and Housing Units,Households,58328.0,58953.0,61925,65316,69112,72446,75548,78650
Fayette,Households and Housing Units,Households,11875.0,11861.0,12072,12315,12571,12811,13045,13278
Franklin,Households and Housing Units,Households,526512.0,525478.0,552803,575455,604387,626142,644307,662474
Hocking,Households and Housing Units,Households,11422.0,11462.0,11408,11325,11271,11189,11092,10995
Knox,Households and Housing Units,Households,23424.0,23473.0,23943,24385,25009,25424,25735,26046
Licking,Households and Housing Units,Households,65685.0,66317.0,70182,73783,79757,83018,84924,86830
Logan,Households and Housing Units,Households,18911.0,18899.0,18924,19051,19198,19319,19433,19546
Madison,Households and Housing Units,Households,14855.0,15047.0,15758,16554,17428,18213,18951,19690
Marion,Households and Housing Units,Households,24662.0,24634.0,24643,24585,24617,24547,24424,24300
Morrow,Households and Housing Units,Households,12993.0,13062.0,13536,13997,14618,15057,15404,15752
Perry,Households and Housing Units,Households,13000.0,13008.0,13521,13725,13988,14183,14344,14506
Pickaway,Households and Housing Units,Households,20017.0,20258.0,21289,22497,23803,24996,26134,27272
Ross,Households and Housing Units,Households,29143.0,29107.0,28993,28848,28723,28573,28407,28241
Union,Households and Housing Units,Households,22599.0,23277.0,23792,25977,28280,30447,32547,34647
15-County Region,Households and Housing Units,Housing Units,1008167.0,1011753.0,1062364,1111283,1172037,1219260,1259720,1300181
10-County Region,Households and Housing Units,Housing Units,910823.0,914424.0,964365,1012878,1073063,1119906,1160076,1200248
Delaware,Households and Housing Units,Housing Units,78155.0,80219.0,89768,100840,112970,123892,134210,144527
Fairfield,Households and Housing Units,Housing Units,62923.0,63597.0,66803,70462,74557,78153,81500,84846
Fayette,Households and Housing Units,Housing Units,12960.0,12944.0,13175,13440,13719,13981,14236,14491
Franklin,Households and Housing Units,Housing Units,567317.0,566203.0,595645,620053,651227,674668,694241,713816
Hocking,Households and Housing Units,Housing Units,13308.0,13354.0,13291,13195,13132,13036,12923,12810
Knox,Households and Housing Units,Housing Units,26346.0,26401.0,26929,27426,28128,28595,28945,29295
Licking,Households and Housing Units,Housing Units,72377.0,73074.0,77332,81300,87883,91476,93576,95677
Logan,Households and Housing Units,Housing Units,23837.0,23822.0,23853,24013,24199,24351,24495,24637
Madison,Households and Housing Units,Housing Units,15969.0,16175.0,16940,17795,18735,19579,20372,21166
Marion,Households and Housing Units,Housing Units,27929.0,27897.0,27907,27842,27878,27799,27659,27519
Morrow,Households and Housing Units,Housing Units,14259.0,14335.0,14855,15361,16042,16524,16905,17287
Perry,Households and Housing Units,Housing Units,15110.0,15119.0,15716,15953,16258,16485,16672,16860
Pickaway,Households and Housing Units,Housing Units,21766.0,22028.0,23149,24463,25883,27180,28418,29655
Ross,Households and Housing Units,Housing Units,32129.0,32090.0,31964,31804,31666,31501,31318,31135
Union,Households and Housing Units,Housing Units,23782.0,24495.0,25037,27336,29760,32040,34250,36460
15-County Region,Population,Population,2421159.0,2431037.0,2555315,2676926,2827180,2944699,3045854,3147011
10-County Region,Population,Population,2205732.0,2215648.0,2338387,2459127,2608147,2724853,2825397,2925943
Delaware,Population,Population,215062.0,220740.0,247016,277484,310863,340917,369307,397697
Fairfield,Population,Population,159357.0,161064.0,169183,178449,188820,197928,206404,214880
Fayette,Population,Population,28939.0,28906.0,29419,30011,30634,31220,31790,32360
Franklin,Population,Population,1324013.0,1321414.0,1390127,1447090,1519844,1574551,1620232,1665914
Hocking,Population,Population,27999.0,28097.0,27965,27762,27629,27428,27190,26953
Knox,Population,Population,62765.0,62897.0,64157,65339,67013,68125,68957,69790
Licking,Population,Population,178680.0,180401.0,190915,200710,216962,225833,231017,236202
Logan,Population,Population,46065.0,46035.0,46095,46407,46763,47058,47335,47611
Madison,Population,Population,43823.0,44386.0,46487,48833,51412,53726,55905,58084
Marion,Population,Population,65363.0,65291.0,65314,65160,65246,65059,64732,64405
Morrow,Population,Population,34964.0,35151.0,36425,37666,39338,40519,41454,42389
Perry,Population,Population,35439.0,35460.0,36859,37415,38131,38662,39102,39542
Pickaway,Population,Population,58628.0,59333.0,62355,65891,69716,73212,76545,79877
Ross,Population,Population,76985.0,76891.0,76590,76204,75876,75478,75040,74602
Union,Population,Population,63077.0,64971.0,66408,72505,78933,84983,90844,96705
15-County Region,Population,Population - 80% Prediction Interval (-),,,-110084,-248816,-448287,-641302,-840786,-1060732
10-County Region,Population,Population - 80% Prediction Interval (-),,,-102212,-227721,-409881,-582992,-760156,-955447
Delaware,Population,Population - 80% Prediction Interval (-),,,-8552,-21017,-39647,-57560,-76050,-96536
Fairfield,Population,Population - 80% Prediction Interval (-),,,-5193,-14345,-27278,-41085,-56093,-72733
Fayette,Population,Population - 80% Prediction Interval (-),,,-507,-1320,-2394,-3619,-4988,-6501
Franklin,Population,Population - 80% Prediction Interval (-),,,-56682,-119621,-211208,-295420,-379936,-472848
Hocking,Population,Population - 80% Prediction Interval (-),,,-843,-2227,-4058,-6133,-8443,-10995
Knox,Population,Population - 80% Prediction Interval (-),,,-2187,-5767,-10837,-16147,-21866,-28201
Licking,Population,Population - 80% Prediction Interval (-),,,-14107,-27386,-49304,-65652,-79894,-95558
Logan,Population,Population - 80% Prediction Interval (-),,,-1224,-3030,-5315,-7902,-10791,-13967
Madison,Population,Population - 80% Prediction Interval (-),,,-3569,-10217,-19067,-29240,-40644,-53268
Marion,Population,Population - 80% Prediction Interval (-),,,-1583,-2406,-3301,-3842,-4193,-4509
Morrow,Population,Population - 80% Prediction Interval (-),,,-1949,-5219,-9849,-14731,-20007,-25853
Perry,Population,Population - 80% Prediction Interval (-),,,-2098,-4683,-8029,-11690,-15698,-20100
Pickaway,Population,Population - 80% Prediction Interval (-),,,-4350,-12642,-23712,-36454,-50756,-66592
Ross,Population,Population - 80% Prediction Interval (-),,,-3200,-9835,-18610,-28966,-40710,-53722
Union,Population,Population - 80% Prediction Interval (-),,,-4040,-9101,-15678,-22861,-30717,-39349
15-County Region,Population,Population - 80% Prediction Interval (+),,,41873,139687,240961,401250,600732,820672
10-County Region,Population,Population - 80% Prediction Interval (+),,,34741,119852,205059,345841,523002,718285
Delaware,Population,Population - 80% Prediction Interval (+),,,1425,9734,18386,32971,51461,71947
Fairfield,Population,Population - 80% Prediction Interval (+),,,2521,10092,19235,31777,46785,63424
Fayette,Population,Population - 80% Prediction Interval (+),,,436,1205,2180,3374,4744,6258
Franklin,Population,Population - 80% Prediction Interval (+),,,19527,59898,97336,163494,248007,340914
Hocking,Population,Population - 80% Prediction Interval (+),,,695,1989,3610,5613,7924,10476
Knox,Population,Population - 80% Prediction Interval (+),,,1007,3888,7275,12025,17745,24078
Licking,Population,Population - 80% Prediction Interval (+),,,-1603,2454,2238,11212,25454,41117
Logan,Population,Population - 80% Prediction Interval (+),,,1195,2944,5070,7621,10509,13686
Madison,Population,Population - 80% Prediction Interval (+),,,3021,9335,17386,27288,38692,51316
Marion,Population,Population - 80% Prediction Interval (+),,,1015,1491,1560,1820,2171,2487
Morrow,Population,Population - 80% Prediction Interval (+),,,898,3556,6712,11102,16378,22224
Perry,Population,Population - 80% Prediction Interval (+),,,1701,4054,6848,10327,14335,18736
Pickaway,Population,Population - 80% Prediction Interval (+),,,3674,11559,21644,34060,48361,64199
Ross,Population,Population - 80% Prediction Interval (+),,,3105,9643,18194,28474,40218,53231
Union,Population,Population - 80% Prediction Interval (+),,,3256,7845,13287,20092,27948,36579
15-County Region,Population,Population - Confidence Limit (lower),,,2445231,2428110,2378893,2303397,2205068,2086279
10-County Region,Population,Population - Confidence Limit (lower),,,2236175,2231406,2198266,2141861,2065241,1970496
Delaware,Population,Population - Confidence Limit (lower),,,238464,256467,271216,283357,293257,301161
Fairfield,Population,Population - Confidence Limit (lower),,,163990,164104,161542,156843,150311,142147
Fayette,Population,Population - Confidence Limit (lower),,,28912,28691,28240,27601,26802,25859
Franklin,Population,Population - Confidence Limit (lower),,,1333445,1327469,1308636,1279131,1240296,1193066
Hocking,Population,Population - Confidence Limit (lower),,,27122,25535,23571,21295,18747,15958
Knox,Population,Population - Confidence Limit (lower),,,61970,59572,56176,51978,47091,41589
Licking,Population,Population - Confidence Limit (lower),,,176808,173324,167658,160181,151123,140644
Logan,Population,Population - Confidence Limit (lower),,,44871,43377,41448,39156,36544,33644
Madison,Population,Population - Confidence Limit (lower),,,42918,38616,32345,24486,15261,4816
Marion,Population,Population - Confidence Limit (lower),,,63731,62754,61945,61217,60539,59896
Morrow,Population,Population - Confidence Limit (lower),,,34476,32447,29489,25788,21447,16536
Perry,Population,Population - Confidence Limit (lower),,,34761,32732,30102,26972,23404,19442
Pickaway,Population,Population - Confidence Limit (lower),,,58005,53249,46004,36758,25789,13285
Ross,Population,Population - Confidence Limit (lower),,,73390,66369,57266,46512,34330,20880
Union,Population,Population - Confidence Limit (lower),,,62368,63404,63255,62122,60127,57356
15-County Region,Population,Population - Confidence Limit (upper),,,2597188,2816613,3068141,3345949,3646586,3967683
10-County Region,Population,Population - Confidence Limit (upper),,,2373128,2578979,2813206,3070694,3348399,3644228
Delaware,Population,Population - Confidence Limit (upper),,,248441,287218,329249,373888,420768,469644
Fairfield,Population,Population - Confidence Limit (upper),,,171704,188541,208055,229705,253189,278304
Fayette,Population,Population - Confidence Limit (upper),,,29855,31216,32814,34594,36534,38618
Franklin,Population,Population - Confidence Limit (upper),,,1409654,1506988,1617180,1738045,1868239,2006828
Hocking,Population,Population - Confidence Limit (upper),,,28660,29751,31239,33041,35114,37429
Knox,Population,Population - Confidence Limit (upper),,,65164,69227,74288,80150,86702,93868
Licking,Population,Population - Confidence Limit (upper),,,189312,203164,219200,237045,256471,277319
Logan,Population,Population - Confidence Limit (upper),,,47290,49351,51833,54679,57844,61297
Madison,Population,Population - Confidence Limit (upper),,,49508,58168,68798,81014,94597,109400
