Unnamed: 0,Unnamed: 1,County Growth Projections Households and Housing Units,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Households,,,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,,Average Household Size (1),,,,,,,
COUNTY,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,74797,76772,85911,96507.0,108116.0,118569.0,128443.0,138317.0,,,,2.840006952150487,2.8400067733027665,2.8399855664583114,2.840011605375776,2.8400051796218877,2.8399919034486247,2.839991280178756,2.8399907458952987
Fairfield,58328,58953,61925,65316.0,69112.0,72446.0,75548.0,78650.0,,,,2.6799993142230147,2.679982358828219,2.6799838514331853,2.6800018372221204,2.679997684917236,2.6799961350523147,2.6800047651824004,2.680012714558169
Fayette,11875,11861,12072,12315.0,12571.0,12811.0,13045.0,13278.0,,,,2.4099368421052634,2.4100834668240454,2.4099569251159707,2.409906617945595,2.40991170153528,2.409960190461322,2.4099655040245307,2.4100768187980117
Franklin,526512,525478,552803,575455.0,604387.0,626142.0,644307.0,662474.0,,,,2.459999012368189,2.460002131392751,2.4600011215568656,2.460001216428739,2.4599999669086197,2.45999948893382,2.46000121060302,2.459998430127069
Hocking,11422,11462,11408,11325.0,11271.0,11189.0,11092.0,10995.0,,,,2.4099982489931713,2.4100506019891816,2.410063113604488,2.410066225165563,2.4099902404400675,2.4100455804808294,2.41002524341868,2.4100954979536153
Knox,23424,23473,23943,24385.0,25009.0,25424.0,25735.0,26046.0,,,,2.5199795081967213,2.520001704085545,2.5200267301507746,2.5199507894197253,2.5200127953936584,2.520020453115167,2.519953370895667,2.519964677877601
Licking,65685,66317,70182,73783.0,79757.0,83018.0,84924.0,86830.0,,,,2.659983253406409,2.659996682600238,2.65999829015987,2.6599894284591303,2.660004764472084,2.6600134910501336,2.6600018840374924,2.6600023033513764
Logan,18911,18899,18924,19051.0,19198.0,19319.0,19433.0,19546.0,,,,2.4100259108455395,2.4099687814170063,2.4099556119213696,2.410057214844365,2.4099906240233357,2.4099591076142657,2.4099727268049196,2.4100071625908113
Madison,14855,15047,15758,16554.0,17428.0,18213.0,18951.0,19690.0,,,,2.6000673174015483,2.5999202498836977,2.6000761517959132,2.5999758366557932,2.6000114757860913,2.5999560753308075,2.60002110706559,2.6
Marion,24662,24634,24643,24585.0,24617.0,24547.0,24424.0,24300.0,,,,2.4199578298597033,2.4200292278964035,2.419997565231506,2.420012202562538,2.420034935207377,2.419969853749949,2.419955781198821,2.42
Morrow,12993,13062,13536,13997.0,14618.0,15057.0,15404.0,15752.0,,,,2.669899176479643,2.6700352166590107,2.669917257683215,2.6699292705579767,2.6699958954713368,2.6699873812844523,2.6700856920280445,2.6699466734382935
Perry,13000,13008,13521,13725.0,13988.0,14183.0,14344.0,14506.0,,,,2.700076923076923,2.700030750307503,2.700096146734709,2.7000364298724953,2.699957106090935,2.6999224423605725,2.7000139431121024,2.699917275610092
Pickaway,20017,20258,21289,22497.0,23803.0,24996.0,26134.0,27272.0,,,,2.7000049957536096,2.6999703820712804,2.700032880830476,2.6999599946659556,2.6999537873377304,2.7000320051208195,2.7000076528659984,2.699985332942212
Ross,29143,29107,28993,28848.0,28723.0,28573.0,28407.0,28241.0,,,,2.4400027450845827,2.440031607517092,2.440037250370779,2.439961175818081,2.4400306374682312,2.4399608021558814,2.4399971837927272,2.4399985836195603
Union,22599,23277,23792,25977.0,28280.0,30447.0,32547.0,34647.0,,,,2.639984070091597,2.640030931821111,2.64004707464694,2.639950725641914,2.63995756718529,2.6400302164416853,2.6399975420161614,2.6399976909977774
Total,928223,931608,978700,1024320.0,1080878.0,1124934.0,1162738.0,1200544.0,,,,2.534244464961545,2.535313135997115,2.537393481148462,2.540238402061856,2.5429863499858447,2.545335104103885,2.547461250943893,2.5494509155849348
,,,,,,,,,,,,,,,,,,,
Housing Units,,,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,,Occupancy Rate (2),,,,,,,
COUNTY,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,78155,80219,89768,100840.0,112970.0,123892.0,134210.0,144527.0,,,,0.9570340989060201,0.9570301300190728,0.9570336868371803,0.9570309401031337,0.9570328405771443,0.9570351596551836,0.9570300275687356,0.9570322500294063
Fairfield,62923,63597,66803,70462.0,74557.0,78153.0,81500.0,84846.0,,,,0.9269742383548146,0.9269776876267748,0.9269793272757212,0.9269677272856292,0.9269686280295613,0.9269765715967397,0.9269693251533743,0.9269735756547156
Fayette,12960,12944,13175,13440.0,13719.0,13981.0,14236.0,14491.0,,,,0.9162808641975309,0.916331891223733,0.916280834914611,0.9162946428571429,0.9163204315183322,0.9163149989271153,0.9163388592301208,0.916292871437444
Franklin,567317,566203,595645,620053.0,651227.0,674668.0,694241.0,713816.0,,,,0.9280737224514689,0.928073500140409,0.9280746081978359,0.9280738904577512,0.9280742352513025,0.9280742528176822,0.9280739685498264,0.9280739013975591
Hocking,13308,13354,13291,13195.0,13132.0,13036.0,12923.0,12810.0,,,,0.8582807333934476,0.8583196046128501,0.8583251824542923,0.8582796513830997,0.8582851050868109,0.8583154341822645,0.8583146328251954,0.8583138173302107
Knox,26346,26401,26929,27426.0,28128.0,28595.0,28945.0,29295.0,,,,0.8890913231610111,0.8890951100337109,0.8891158230903486,0.8891198133158317,0.8891140500568828,0.8891064871481028,0.8891000172741406,0.8890937019969278
Licking,72377,73074,77332,81300.0,87883.0,91476.0,93576.0,95677.0,,,,0.9075396880224381,0.9075320907573146,0.9075415093363679,0.907539975399754,0.907536156025625,0.9075385893567712,0.90754039497307,0.907532635847696
Logan,23837,23822,23853,24013.0,24199.0,24351.0,24495.0,24637.0,,,,0.7933464781641986,0.7933422886407523,0.7933593258709596,0.7933619289551493,0.7933385677094095,0.7933555090140035,0.7933455807307613,0.7933595811178309
Madison,15969,16175,16940,17795.0,18735.0,19579.0,20372.0,21166.0,,,,0.9302398396893982,0.9302627511591963,0.930224321133412,0.9302613093565608,0.9302375233520149,0.9302313703457786,0.930247398389947,0.9302655201738638
Marion,27929,27897,27907,27842.0,27878.0,27799.0,27659.0,27519.0,,,,0.8830248129184718,0.8830340179947664,0.8830400974665854,0.8830184613174341,0.8830260420403185,0.8830173747257095,0.8830398785205539,0.8830262727570043
Morrow,14259,14335,14855,15361.0,16042.0,16524.0,16905.0,17287.0,,,,0.9112139701241321,0.9111963725148239,0.911208347357792,0.9112036976759326,0.9112330133399825,0.9112200435729847,0.9112097012718131,0.9112049516978076
Perry,15110,15119,15716,15953.0,16258.0,16485.0,16672.0,16860.0,,,,0.8603573792190602,0.8603743633838217,0.860333418172563,0.8603397480097787,0.8603764300651987,0.8603579011222323,0.8603646833013435,0.860379596678529
Pickaway,21766,22028,23149,24463.0,25883.0,27180.0,28418.0,29655.0,,,,0.9196453183864743,0.9196477210822589,0.9196509568447881,0.9196337325757266,0.9196383726770467,0.9196467991169978,0.9196284045323386,0.9196425560613725
Ross,32129,32090,31964,31804.0,31666.0,31501.0,31318.0,31135.0,,,,0.9070621556848952,0.9070426924275475,0.9070516831435365,0.9070557162621053,0.9070612012884481,0.9070505698231802,0.9070502586372055,0.9070499437931588
Union,23782,24495,25037,27336.0,29760.0,32040.0,34250.0,36460.0,,,,0.9502564965099655,0.9502755664421311,0.9502735950792827,0.9502853380158033,0.9502688172043011,0.9502808988764045,0.9502773722627738,0.9502742731760834
Total,1008167,1011753,1062364,1111283.0,1172037.0,1219260.0,1259720.0,1300181.0,,,,0.9207036135878283,0.9207860021171175,0.9212473314231281,0.921745405985694,0.9222217387335041,0.9226366812656858,0.9230130505191629,0.9233668235422606
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,"Average Household Size is assumed as a fixed value, by county.",,,,,,,,,,,,,,,,,,
2,"Occupancy rate is assumed as a fixed value, by county. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Updated July 25, 2023",,,,,,,,,,,,,,,,,,
